username,target
@ShockRebel,@KevinDe85249503
@1KenyaWest,@sahouraxo
@danniwainaina,@kurtrisser
@danniwainaina,@1813Doncarlo
@danniwainaina,@kaitlancollins
@jackbit_njagi,@jackbit_njagi's
@boccolotti,@sbonaccini
@danniwainaina,@AdamParkhomenko
@jackbit_njagi,@jackbit_njagi's
@danniwainaina,@TheUADude
@danniwainaina,@lapatina_
@SamuelNduch,@AfricaFactsZone
@inasirarain,@ZaidZamanHamid
@Nodrgsnlve,@Damilare_arah
@AlmadanBasel,@MariamBarghouti
@jackbit_njagi,@jackbit_njagi's
@jackbit_njagi,@jackbit_njagi's
@jackbit_njagi,@jackbit_njagi's
@pketwol,@ItsMutai
@Bichettt,@MrsDavidSambora
@art_soul_ke,@ItsMutai
@Bkirimi2,@ItsMutai
@papafavour,@Brayson53233089
@abukarm53,@DmytroKuleba
@abukarm53,@EmmanuelMacron
@SamuelNduch,@pinatafarms
@bill99540642,@amazonmusic
@Kabianga985,@Kasparov63
@AAWahab1919,@AlanRMacLeod
@sheepish_lion_,@ChristzSoulja
@Amadadi7,@KremlinRussia_E
@Ajy_NationFirst,@ANI
@toshVictor,@ItsMutai
@deejayiconiqq,@YouTube
@BrassKnuckTruck,@JustinTrudeau
@AlexMbeva,@MutuaKoome
@SamuelNduch,@ItsMutai
@CharloteEnglish,@Reuters
@elysium0820,@NatObserver
@NDUNGU2010,@OKanzio
@OumaFlo,@ItsMutai
@Bonayawodiq,@ItsMutai
@MashRomeo,@ItsMutai
@HarunaNAbdullah,@paIestiine
@Cracker42Joseph,@rtyson82
@wangai_kenny,@ItsMutai
@Kyeney_kimz,@stevotienoonyi
@BenjieTiP,@IAPonomarenko
@Ja50n7,@UEFA
@Qwiickk,@ananavarro
@MashRomeo,@RobertAlai
@SamwelDollah,@KICC_kenya
@rhj1910,@PSFAERO
@Malela__,@AlJazeera
@Kajuga0,@_AfricanUnion
@rahat_hasan7,@ZelenskyyUa
@CliffMatundura,@CliffMatundura
@MoretteThompson,@Grabski12635109
@MoretteThompson,@Grabski12635109
@MoretteThompson,@YouTube
@MykeArena,@ItsMutai
@ajay7490verma,@ANI
@MtnGithaigaA1,@_AfricanUnion
@MalayPalm,@Ianblackford_MP
@ajay7490verma,@ANI
@PLordwolf,@Russia
@ne_llaa,@Brayson53233089
@AgorasBlog,@Brayson53233089
@sinafich,@BTnewsroom
@Oluwato72318773,@InfoMigrants
@TurbineJetRC,@fatnixon2020
@TurbineJetRC,@inteligenk
@TurbineJetRC,@alienmotives
@TurbineJetRC,@TracyMorison
@UoWont,@ndtvfeed
@MFNGARI,@KremlinRussia_E
@axprague,@PolandMFA
@DrMuange,@_AfricanUnion
@UngoogleableMan,@UNICEFnl
@CryptoFossils,@NasrinRasheda
@abdalraheem,@AJEnglish
@AzimioWananchi,@ItsMutai
@mayajpsartre,@BBCNews
@HardTruth6,@SkyNews
@abdullah_evans,@jim_mash
@warui_wangui,@RohitKrmishra
@OburuCornnelius,@NahashonKimemia
@axprague,@LastWeekTonight
@OpondoCharles1,@RobertAlai
@A__j2,@CBSEveningNews
@amKumarRahul,@fatimatlis
@Mtalii_Official,@officialzuchu
@Gooseactual1,@russembkenya
@bdoor_kutbi,@ali_alketbi8
@OrngeTruthSeekr,@rommari
@muraitc,@madan3
@ole_Tajeu,@JackyKemigisa
@kevinmairura,@calxandr
@SirHenryKau,@ThePandaFama1
@UncleObama_,@AWasilek
@Fadhil_1621,@ItsMutai
@Channel54News,@governorkiraitu
@omi569,@KremlinRussia_E
@strangerinKyiv,@ItsMutai
@Shane41643395,@ng_ukraine
@MMwingirwa,@HusseinMohamedg
@fdescds92,@PENELOPPE192
@anita_sharon,@realMugoDaniel
@DissectHub,@Dissecthub
@update_war,@ChinmayZanpure
@Eduard84561900,@minepinetworrk
@rk_mbs,@GovernmentRF
@BlackNerves,@HereToRebuild
@mohitti,@ragipsoylu
@OmarLali_,@RailaOdinga
@ishaan_2711,@MarinaTechTO
@ishaan_2711,@RabbiJill
@ishaan_2711,@AChatterjee24
@ishaan_2711,@Westandwith2
@ishaan_2711,@kliuch
@Ruu_Dra,@greenysoulin
@ishaan_2711,@MatthiasMuell15
@Hellsquad_82,@V_Schneiderman
@MaximusJohn,@KyleJamesHoward
@Hellsquad_82,@SamwumOJO
@Hellsquad_82,@AnonymousUK2022
@Anon1KENYA,@doqan_ee_yere
@TweetByBobiWine,@RudrakshiFarhan
@Hellsquad_82,@AnonLegionUS
@frontier_ltdKE,@frontiercontainers.co.ke
@_vileg_,@StateHouseKenya
@Hellsquad_82,@bibliofleur
@Hellsquad_82,@RhonddaBryant
@Hellsquad_82,@AnonymousUK2022
